subject,trial,lambda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
8-5-3,6,5.000000e-01,1,0,1,1,1,1,1,0,1,1,0
8-5-3,7,5.000000e-01,1,0,1,1,0,1,1,0,1,1,0
8-5-3,8,5.000000e-01,0,1,1,1,1,1,1,0,1,1,0
8-5-3,9,5.000000e-01,1,0,1,1,1,1,1,0,1,1,1
8-5-3,10,5.000000e-01,1,0,1,1,0,1,1,0,1,1,0
8-6-3,1,6.000000e-01,1,1,1,1,0,1,0,1,1,1,1
8-6-3,2,6.000000e-01,1,1,1,1,0,1,1,1,1,1,0
8-6-3,3,6.000000e-01,1,1,1,1,1,1,0,1,1,1,1
8-6-3,4,6.000000e-01,0,1,1,1,0,1,1,1,1,1,0
8-6-3,5,6.000000e-01,0,1,1,1,0,1,0,1,1,1,1
8-6-3,6,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-6-3,7,6.000000e-01,1,1,1,1,1,1,1,1,1,1,0
8-6-3,8,6.000000e-01,0,1,1,1,1,1,1,1,1,1,1
8-6-3,9,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-6-3,10,6.000000e-01,1,1,1,1,0,1,1,1,1,1,1
8-7-3,1,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,2,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,3,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,4,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,5,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,6,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,7,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,8,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,9,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-7-3,10,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,1,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,2,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,3,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,4,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,5,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,6,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,7,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,8,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,9,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-8-3,10,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,1,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,2,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,3,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,4,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,6,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,7,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,9,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-9-3,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
8-10-3,1,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,2,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,3,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,4,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,5,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,6,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,7,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,8,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,9,1,1,1,1,1,1,1,1,1,1,1,1
8-10-3,10,1,1,1,1,1,1,1,1,1,1,1,1
9-1-3,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,5,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
9-1-3,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,7,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,8,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-1-3,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,9,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-2-3,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-3-3,1,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
9-3-3,2,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
9-3-3,3,3.000000e-01,0,0,0,0,0,1,0,1,0,1,0
9-3-3,4,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-3-3,5,3.000000e-01,0,1,0,0,0,1,0,1,0,1,0
9-3-3,6,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-3-3,7,3.000000e-01,0,0,0,0,0,1,0,1,0,0,0
9-3-3,8,3.000000e-01,0,0,0,0,0,1,0,0,0,1,0
9-3-3,9,3.000000e-01,0,1,0,0,0,1,0,1,0,0,0
9-3-3,10,3.000000e-01,0,0,0,0,0,1,0,0,0,0,0
9-4-3,1,4.000000e-01,0,1,1,0,0,1,0,0,0,1,0
9-4-3,2,4.000000e-01,0,1,1,1,0,1,0,0,0,1,0
9-4-3,3,4.000000e-01,0,0,1,1,0,1,0,1,1,1,0
9-4-3,4,4.000000e-01,0,0,0,1,0,1,0,0,1,1,0
9-4-3,5,4.000000e-01,0,1,1,1,0,1,0,1,1,1,0
9-4-3,6,4.000000e-01,0,0,1,1,0,1,0,0,0,1,0
9-4-3,7,4.000000e-01,0,0,0,1,0,1,0,1,1,1,0
9-4-3,8,4.000000e-01,0,0,1,1,0,1,0,0,1,1,0
9-4-3,9,4.000000e-01,0,1,1,0,0,1,0,1,1,1,0
9-4-3,10,4.000000e-01,0,0,0,1,0,1,0,0,0,1,0
9-5-3,1,5.000000e-01,0,1,1,1,0,1,1,1,1,1,1
9-5-3,2,5.000000e-01,0,1,1,1,0,1,1,1,1,1,1
9-5-3,3,5.000000e-01,1,0,1,1,0,1,0,1,1,1,1
9-5-3,4,5.000000e-01,1,1,1,1,0,1,1,0,1,1,1
9-5-3,5,5.000000e-01,0,1,1,1,1,1,0,1,1,1,1
9-5-3,6,5.000000e-01,1,0,1,1,0,1,1,1,1,1,1
9-5-3,7,5.000000e-01,1,1,1,1,0,1,0,1,1,1,0
9-5-3,8,5.000000e-01,1,0,1,1,0,1,1,0,1,1,1
9-5-3,9,5.000000e-01,0,1,1,1,0,1,0,1,1,1,0
9-5-3,10,5.000000e-01,1,1,1,1,0,1,1,1,1,1,0
9-6-3,1,6.000000e-01,0,1,1,1,1,1,1,1,1,1,1
9-6-3,2,6.000000e-01,0,1,1,1,0,1,1,1,1,1,1
9-6-3,3,6.000000e-01,1,1,1,1,0,1,0,1,1,1,1
9-6-3,4,6.000000e-01,1,1,1,1,0,1,1,1,1,1,1
9-6-3,5,6.000000e-01,0,1,1,1,1,1,0,1,1,1,1
9-6-3,6,6.000000e-01,1,1,1,1,0,1,1,1,1,1,1
9-6-3,7,6.000000e-01,1,1,1,1,0,1,0,1,1,1,0
9-6-3,8,6.000000e-01,1,1,1,1,0,1,1,1,1,1,1
9-6-3,9,6.000000e-01,0,1,1,1,1,1,0,1,1,1,0
9-6-3,10,6.000000e-01,1,1,1,1,0,1,1,1,1,1,0
9-7-3,1,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,2,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,3,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,4,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,5,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,6,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,7,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,8,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,9,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-7-3,10,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,1,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,2,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,3,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,4,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,5,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,6,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,7,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,8,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,9,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-8-3,10,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,1,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,2,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,3,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,4,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,6,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,7,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,9,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-9-3,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
9-10-3,1,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,2,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,3,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,4,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,5,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,6,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,7,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,8,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,9,1,1,1,1,1,1,1,1,1,1,1,1
9-10-3,10,1,1,1,1,1,1,1,1,1,1,1,1
10-1-3,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,7,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,8,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
10-1-3,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-1-3,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-2-3,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-2-3,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-2-3,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-2-3,4,2.000000e-01,0,0,1,0,0,1,0,0,0,0,0
10-2-3,5,2.000000e-01,0,0,0,0,0,1,0,0,1,0,0
10-2-3,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-2-3,7,2.000000e-01,0,0,1,0,0,1,0,0,0,0,0
10-2-3,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-2-3,9,2.000000e-01,0,0,1,0,0,1,0,0,0,0,0
10-2-3,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
10-3-3,1,3.000000e-01,0,1,1,0,0,1,0,1,1,0,0
10-3-3,2,3.000000e-01,0,0,1,0,0,1,0,1,1,0,0
10-3-3,3,3.000000e-01,0,0,1,0,0,1,0,1,1,1,0
10-3-3,4,3.000000e-01,0,0,1,0,0,1,0,0,1,1,0
10-3-3,5,3.000000e-01,0,0,1,1,0,1,0,0,1,0,0
10-3-3,6,3.000000e-01,0,0,1,0,0,1,0,0,1,0,0
10-3-3,7,3.000000e-01,0,1,1,0,0,1,0,0,1,1,0
10-3-3,8,3.000000e-01,0,0,1,0,0,1,0,0,1,0,0
10-3-3,9,3.000000e-01,0,0,1,0,0,1,0,1,1,0,0
10-3-3,10,3.000000e-01,0,1,1,1,0,1,0,0,1,0,0
10-4-3,1,4.000000e-01,0,1,1,1,0,1,0,1,1,0,0
10-4-3,2,4.000000e-01,1,0,1,0,0,1,0,1,1,1,0
10-4-3,3,4.000000e-01,1,0,1,0,0,1,0,1,1,1,0
10-4-3,4,4.000000e-01,1,0,1,0,0,1,1,0,1,1,0
10-4-3,5,4.000000e-01,1,0,1,1,0,1,1,0,1,0,0
10-4-3,6,4.000000e-01,1,0,1,0,0,1,1,0,1,0,0
10-4-3,7,4.000000e-01,0,1,1,0,0,1,1,0,1,1,0
10-4-3,8,4.000000e-01,1,0,1,0,0,1,1,0,1,0,0
10-4-3,9,4.000000e-01,1,0,1,0,0,1,0,1,1,1,0
10-4-3,10,4.000000e-01,0,1,1,1,0,1,1,0,1,0,0
10-5-3,1,5.000000e-01,0,1,1,1,1,1,0,1,1,1,0
10-5-3,2,5.000000e-01,1,1,1,1,0,1,0,1,1,1,1
10-5-3,3,5.000000e-01,1,1,1,1,1,1,0,1,1,1,1
10-5-3,4,5.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-5-3,5,5.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-5-3,6,5.000000e-01,1,1,1,1,0,1,1,1,1,1,1
10-5-3,7,5.000000e-01,0,1,1,1,1,1,1,1,1,1,1
10-5-3,8,5.000000e-01,1,1,1,1,1,1,1,1,1,1,0
10-5-3,9,5.000000e-01,1,1,1,1,1,1,0,1,1,1,1
10-5-3,10,5.000000e-01,0,1,1,1,1,1,1,1,1,1,0
10-6-3,1,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,2,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,3,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,4,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,5,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,6,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,7,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,8,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,9,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-6-3,10,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,1,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,2,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,3,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,4,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,5,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,6,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,7,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,8,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,9,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-7-3,10,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,1,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,2,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,3,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,4,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,5,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,6,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,7,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,8,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,9,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-8-3,10,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,1,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,2,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,3,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,4,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,6,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,7,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,9,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-9-3,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
10-10-3,1,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,2,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,3,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,4,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,5,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,6,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,7,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,8,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,9,1,1,1,1,1,1,1,1,1,1,1,1
10-10-3,10,1,1,1,1,1,1,1,1,1,1,1,1
11-1-3,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-1-3,2,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-1-3,3,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
11-1-3,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-1-3,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-1-3,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-1-3,7,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
11-1-3,8,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
11-1-3,9,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
11-1-3,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,9,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-2-3,10,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
11-3-3,1,3.000000e-01,0,1,0,1,0,1,0,0,0,1,0
11-3-3,2,3.000000e-01,0,0,0,1,0,1,0,1,0,0,0
11-3-3,3,3.000000e-01,0,0,0,0,0,1,0,1,0,1,0
11-3-3,4,3.000000e-01,0,1,0,0,0,1,0,0,0,0,0
11-3-3,5,3.000000e-01,0,0,0,1,0,1,0,0,0,0,0
11-3-3,6,3.000000e-01,0,0,0,1,0,1,0,0,0,0,0
11-3-3,7,3.000000e-01,0,1,0,0,0,1,0,0,0,1,0
11-3-3,8,3.000000e-01,0,0,0,0,0,1,0,0,0,1,0
11-3-3,9,3.000000e-01,0,1,0,0,0,1,0,1,0,1,0
11-3-3,10,3.000000e-01,0,0,0,1,0,1,0,1,0,0,0
11-4-3,1,4.000000e-01,0,1,1,1,0,1,0,0,1,1,0
11-4-3,2,4.000000e-01,0,0,1,1,0,1,0,1,1,0,0
11-4-3,3,4.000000e-01,0,0,0,0,0,1,0,1,1,1,0
11-4-3,4,4.000000e-01,0,1,1,0,0,1,0,0,0,0,0
11-4-3,5,4.000000e-01,0,0,1,1,0,1,0,0,1,0,0
11-4-3,6,4.000000e-01,0,0,0,1,0,1,0,0,0,0,0
11-4-3,7,4.000000e-01,0,1,1,0,0,1,0,0,0,1,0
11-4-3,8,4.000000e-01,0,0,1,0,0,1,0,0,1,1,0
11-4-3,9,4.000000e-01,0,1,1,0,0,1,0,1,1,1,0
11-4-3,10,4.000000e-01,0,0,0,1,0,1,0,1,1,0,0
11-5-3,1,5.000000e-01,0,1,1,1,0,1,1,0,1,1,1
11-5-3,2,5.000000e-01,1,0,1,1,1,1,0,1,1,1,1
11-5-3,3,5.000000e-01,1,1,1,1,1,1,0,1,1,1,0
11-5-3,4,5.000000e-01,0,1,1,1,0,1,1,1,1,1,1
11-5-3,5,5.000000e-01,1,0,1,1,1,1,1,0,1,1,1
11-5-3,6,5.000000e-01,1,1,1,1,0,1,1,1,1,1,1
11-5-3,7,5.000000e-01,0,1,1,1,1,1,1,1,1,1,0
11-5-3,8,5.000000e-01,1,0,1,1,1,1,1,0,1,1,1
11-5-3,9,5.000000e-01,0,1,1,1,1,1,0,1,1,1,1
11-5-3,10,5.000000e-01,1,1,1,1,0,1,0,1,1,1,1
11-6-3,1,6.000000e-01,0,1,1,1,0,1,1,1,1,1,1
11-6-3,2,6.000000e-01,1,1,1,1,1,1,0,1,1,1,1
11-6-3,3,6.000000e-01,1,1,1,1,1,1,0,1,1,1,0
11-6-3,4,6.000000e-01,0,1,1,1,1,1,1,1,1,1,1
11-6-3,5,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-6-3,6,6.000000e-01,1,1,1,1,0,1,1,1,1,1,1
11-6-3,7,6.000000e-01,0,1,1,1,1,1,1,1,1,1,0
11-6-3,8,6.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-6-3,9,6.000000e-01,0,1,1,1,1,1,0,1,1,1,1
11-6-3,10,6.000000e-01,1,1,1,1,0,1,0,1,1,1,1
11-7-3,1,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,2,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,3,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,4,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,5,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,6,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,7,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,8,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,9,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-7-3,10,7.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,1,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,2,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,3,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,4,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,5,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,6,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,7,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,8,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,9,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-8-3,10,8.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,1,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,2,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,3,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,4,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,6,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,7,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,8,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,9,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-9-3,10,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
11-10-3,1,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,2,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,3,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,4,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,5,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,6,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,7,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,8,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,9,1,1,1,1,1,1,1,1,1,1,1,1
11-10-3,10,1,1,1,1,1,1,1,1,1,1,1,1
12-1-3,1,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,2,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
12-1-3,3,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,4,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,5,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,6,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,7,1.000000e-01,0,0,0,0,0,0,0,0,0,0,0
12-1-3,8,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,9,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-1-3,10,1.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,1,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,2,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,3,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,4,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,5,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,6,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,7,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
12-2-3,8,2.000000e-01,0,0,0,0,0,1,0,0,0,0,0
