subject,trial,lambda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
30-4-0.5,6,4.000000e-01,0,0,0,0,0,1,0,1,1,1,0
30-4-0.5,7,4.000000e-01,0,1,1,0,0,1,0,0,0,0,0
30-4-0.5,8,4.000000e-01,0,0,0,0,0,1,0,0,1,1,0
30-4-0.5,9,4.000000e-01,0,0,0,0,0,1,0,0,0,0,0
30-4-0.5,10,4.000000e-01,0,1,0,0,0,1,0,0,1,1,0
30-5-0.5,1,5.000000e-01,0,1,1,1,0,1,0,0,0,0,0
30-5-0.5,2,5.000000e-01,0,0,0,0,0,1,0,1,1,1,0
30-5-0.5,3,5.000000e-01,0,0,0,1,0,1,0,0,0,0,0
30-5-0.5,4,5.000000e-01,0,1,1,1,0,1,0,0,0,0,0
30-5-0.5,5,5.000000e-01,0,0,0,0,0,1,0,0,1,1,0
30-5-0.5,6,5.000000e-01,0,0,0,0,0,1,0,1,1,1,0
30-5-0.5,7,5.000000e-01,0,1,1,0,0,1,0,0,0,1,0
30-5-0.5,8,5.000000e-01,0,0,0,1,0,1,0,0,1,1,0
30-5-0.5,9,5.000000e-01,0,0,0,0,0,1,0,0,0,1,0
30-5-0.5,10,5.000000e-01,0,1,0,0,0,1,0,0,1,1,0
30-6-0.5,1,6.000000e-01,0,1,1,1,1,1,1,0,1,1,1
30-6-0.5,2,6.000000e-01,1,0,1,1,1,1,0,1,1,1,1
30-6-0.5,3,6.000000e-01,1,0,1,1,0,1,1,1,0,1,1
30-6-0.5,4,6.000000e-01,0,1,1,1,1,1,1,1,0,1,1
30-6-0.5,5,6.000000e-01,1,0,1,1,1,1,1,0,1,1,1
30-6-0.5,6,6.000000e-01,1,1,0,1,1,1,0,1,1,1,1
30-6-0.5,7,6.000000e-01,0,1,1,1,0,1,1,1,0,1,0
30-6-0.5,8,6.000000e-01,1,1,0,1,0,1,1,0,1,1,1
30-6-0.5,9,6.000000e-01,1,0,1,1,1,1,1,1,0,1,0
30-6-0.5,10,6.000000e-01,0,1,1,1,1,1,1,0,1,1,1
30-7-0.5,1,7.000000e-01,0,1,1,1,1,1,1,0,1,1,1
30-7-0.5,2,7.000000e-01,1,0,1,1,1,1,0,1,1,1,1
30-7-0.5,3,7.000000e-01,1,0,1,1,0,1,1,1,0,1,1
30-7-0.5,4,7.000000e-01,0,1,1,1,1,1,1,1,0,1,1
30-7-0.5,5,7.000000e-01,1,0,1,1,1,1,1,0,1,1,1
30-7-0.5,6,7.000000e-01,1,1,0,1,1,1,0,1,1,1,1
30-7-0.5,7,7.000000e-01,0,1,1,1,0,1,1,1,0,1,0
30-7-0.5,8,7.000000e-01,1,1,0,1,0,1,1,0,1,1,1
30-7-0.5,9,7.000000e-01,1,0,1,1,1,1,1,1,0,1,0
30-7-0.5,10,7.000000e-01,0,1,1,1,1,1,1,0,1,1,1
30-8-0.5,1,8.000000e-01,0,1,1,1,1,1,1,0,1,1,1
30-8-0.5,2,8.000000e-01,1,0,1,1,1,1,0,1,1,1,1
30-8-0.5,3,8.000000e-01,1,0,1,1,0,1,1,1,0,1,1
30-8-0.5,4,8.000000e-01,0,1,1,1,1,1,1,1,0,1,1
30-8-0.5,5,8.000000e-01,1,0,1,1,1,1,1,0,1,1,1
30-8-0.5,6,8.000000e-01,1,1,0,1,1,1,0,1,1,1,1
30-8-0.5,7,8.000000e-01,0,1,1,1,0,1,1,1,0,1,0
30-8-0.5,8,8.000000e-01,1,1,0,1,0,1,1,0,1,1,1
30-8-0.5,9,8.000000e-01,1,0,1,1,1,1,1,1,0,1,0
30-8-0.5,10,8.000000e-01,0,1,1,1,1,1,1,0,1,1,1
30-9-0.5,1,9.000000e-01,0,1,1,1,1,1,1,1,1,1,1
30-9-0.5,2,9.000000e-01,1,1,1,1,1,1,0,1,1,1,1
30-9-0.5,3,9.000000e-01,1,1,1,1,0,1,1,1,1,1,1
30-9-0.5,4,9.000000e-01,0,1,1,1,1,1,1,1,1,1,1
30-9-0.5,5,9.000000e-01,1,1,1,1,1,1,1,1,1,1,1
30-9-0.5,6,9.000000e-01,1,1,1,1,1,1,0,1,1,1,1
30-9-0.5,7,9.000000e-01,0,1,1,1,1,1,1,1,1,1,0
30-9-0.5,8,9.000000e-01,1,1,1,1,0,1,1,1,1,1,1
30-9-0.5,9,9.000000e-01,1,1,1,1,1,1,1,1,1,1,0
30-9-0.5,10,9.000000e-01,0,1,1,1,1,1,1,1,1,1,1
30-10-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,2,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,3,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,4,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,5,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,6,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,7,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,8,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,9,1,1,1,1,1,1,1,1,1,1,1,1
30-10-0.5,10,1,1,1,1,1,1,1,1,1,1,1,1
